127.0.0.1 - - [13/Nov/2022:11:52:03 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Nov/2022:11:52:04 +0530] "GET /GroceryOrdering/login.jsp HTTP/1.1" 200 1134
0:0:0:0:0:0:0:1 - - [13/Nov/2022:11:52:06 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Nov/2022:11:52:21 +0530] "POST /GroceryOrdering/login HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [13/Nov/2022:11:52:26 +0530] "POST /GroceryOrdering/login HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [13/Nov/2022:11:52:33 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1416
0:0:0:0:0:0:0:1 - - [13/Nov/2022:11:52:33 +0530] "GET /GroceryOrdering/img/logo.jpeg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [13/Nov/2022:11:54:26 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [13/Nov/2022:11:54:26 +0530] "GET /GroceryOrdering/img/logo.jpeg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [13/Nov/2022:11:54:26 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [13/Nov/2022:11:55:38 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [13/Nov/2022:11:55:38 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [13/Nov/2022:11:55:38 +0530] "GET /GroceryOrdering/img/logo.jpeg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [13/Nov/2022:11:56:54 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [13/Nov/2022:11:56:54 +0530] "GET /GroceryOrdering/img/logo.jpeg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [13/Nov/2022:11:56:54 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [13/Nov/2022:11:59:29 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [13/Nov/2022:11:59:29 +0530] "GET /GroceryOrdering/img/logo.jpg HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [13/Nov/2022:11:59:29 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2022:11:59:31 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [13/Nov/2022:11:59:31 +0530] "GET /GroceryOrdering/img/logo.jpg HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [13/Nov/2022:11:59:55 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [13/Nov/2022:11:59:55 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2022:11:59:55 +0530] "GET /GroceryOrdering/images/logo.jpg HTTP/1.1" 200 2759399
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:00:28 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:00:28 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:01:33 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:01:33 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:02:25 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:02:25 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:03:08 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1433
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:03:08 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:05:02 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1423
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:05:02 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:05:57 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1426
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:05:57 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:05:59 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1426
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:06:41 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1414
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:06:41 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:08:07 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1414
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:08:07 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:08:43 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1414
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:08:43 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:08:58 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1414
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:08:58 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:09:40 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1414
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:09:40 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1016
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:09:42 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1414
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:09:42 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:11:35 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1444
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:11:35 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1030
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:11:36 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1444
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:11:36 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:12:03 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:12:03 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:13:02 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:13:02 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1045
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:13:03 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:13:03 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:13:11 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:13:11 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:13:11 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:13:14 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:13:14 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1045
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:13:14 +0530] "GET /GroceryOrdering/images/logo.jpg HTTP/1.1" 200 2759399
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:13:14 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:13:15 +0530] "GET /GroceryOrdering/userProfile.jsp HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [13/Nov/2022:12:13:15 +0530] "GET /GroceryOrdering/css/profile.css HTTP/1.1" 200 1045
